"","machine_learning_model","feature_set","FLUXNET_site_id","climate","IGBF","MAE_mm","R2","mean_bias_error_mm","mean_AET_observation_mm"
"102","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-ARc","Temperate","Grasslands",0.971707436325168,0.626381531463319,0.0931002358573976,2.23411820789745
"103","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-Blo","Temperate","Forest",1.01711744790818,0.609559038840318,-0.800032821487911,2.83608497018655
"104","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-Lin","Arid","Cropland",0.613583238955593,0.545533626365645,0.343334225920583,1.79534947158349
"105","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-LWW","Temperate","Grasslands",0.991089546415724,0.676850593286629,0.930188215492363,1.29986527309634
"106","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-Oho","Cold","Forest",1.06138898267769,0.630882402221358,-0.507690345825748,1.82958744907314
"107","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","US-WCr","Cold","Forest",0.708954555471197,0.727203559609638,0.123388540031241,1.46453035818238
"108","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, soil_moisture, incoming_radiaiton}","ZM-Mon","Equatorial","Forest",0.759987961117466,0.593977592176653,-0.592902934568346,2.51205219177693
"109","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-ASM","Arid","Savanna",0.68790127256431,0.571915153613832,0.339034853327069,0.977104218366496
"110","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-Lox","Arid","Forest",4.0124411804634,0.071174334252434,-3.92801830687674,5.66391095670895
"111","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-RDF","Equatorial","Savanna",1.09824006690127,0.5123887730934,0.480486548083766,1.96860317649799
"112","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-TTE","Arid","Grasslands",0.693883135407769,0.417754944460498,0.412503659311348,0.661566096736985
"113","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-Wac","Temperate","Forest",0.891095638777003,0.328423744421565,-0.72205799337277,1.98473624014452
"114","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","AU-Wom","Temperate","Forest",0.877764471294571,0.453880013935868,-0.613785751332236,2.45637833203942
"115","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","BE-Lon","Temperate","Cropland",0.581031312680383,0.719031161652338,0.0664329372153275,1.36324774662484
"116","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CA-Qfo","Cold","Forest",0.31199029011584,0.795352970811541,-0.0440236936670746,1.00823975798328
"117","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CA-SF3","Cold","Shrubland",0.333547734061367,0.781158537292897,-0.0779733667399365,1.00289121884882
"118","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CH-Cha","Temperate","Grasslands",0.760305698547285,0.819594485041456,-0.692393793001891,2.03058468772694
"119","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","CN-Cng","Cold","Grasslands",0.735027420314387,0.712993708091914,-0.551664760165497,1.86852355816417
"120","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","DE-Gri","Temperate","Grasslands",0.563050660828009,0.851965048738554,-0.30385582672678,1.67317391319268
"121","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","ES-Amo","Arid","Shrubland",1.51753349061938,0.0373191914965551,1.47290696513025,0.599181541934393
"122","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","FI-Hyy","Cold","Forest",0.441582941015643,0.82591962293817,-0.25849500887384,1.39973447504881
"123","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","FR-Gri","Temperate","Cropland",0.750910535830724,0.645550783386481,-0.562264755485588,1.96235598624734
"124","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","FR-LBr","Temperate","Forest",0.640812133116159,0.602449229766158,-0.329271687772702,1.91253068374344
"125","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","IT-CA1","Temperate","Forest",0.762620026822196,0.392842562616621,-0.0432335494192267,2.102900013934
"126","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","IT-SR2","Temperate","Forest",0.694186714718054,0.697513127629257,0.057673852605972,1.98649337907342
"127","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","RU-Ha1","Cold","Grasslands",0.428057812024944,0.819982742035017,-0.282459992800765,1.74409289973497
"128","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-ARb","Temperate","Grasslands",0.884908595939479,0.694820675567603,0.175482295904677,1.85875801538339
"129","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-ARc","Temperate","Grasslands",0.980074984747598,0.61256929427398,-0.0685942446889797,2.23411820789745
"130","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-Blo","Temperate","Forest",1.13120082712571,0.5520965738277,-0.92287484722765,2.83608497018655
"131","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-Lin","Arid","Cropland",0.717012764543347,0.206865228952684,-0.107678471495591,1.79534947158349
"132","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-LWW","Temperate","Grasslands",0.887168895752888,0.65926610791218,0.79576110477167,1.29986527309634
"133","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-Oho","Cold","Forest",1.06764804047633,0.651249667205736,-0.563237821698904,1.82958744907314
"134","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","US-WCr","Cold","Forest",0.722273793842416,0.715713068302765,0.0314748214585022,1.46453035818238
"135","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity, incoming_radiaiton}","ZM-Mon","Equatorial","Forest",0.605143128221451,0.569957525664419,-0.105585179233711,2.51205219177693
"136","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","AU-ASM","Arid","Savanna",0.911845944209014,0.292376114861375,0.525618879908686,0.977104218366496
"137","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","AU-Lox","Arid","Forest",4.11929403666894,0.0560750413019848,-3.8093477711609,5.66391095670895
"138","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","AU-RDF","Equatorial","Savanna",1.17605066058549,0.383306436597359,0.40025469865137,1.96860317649799
"139","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","AU-TTE","Arid","Grasslands",0.954877075512666,0.138114352098378,0.640382914165532,0.661566096736985
"140","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","AU-Wac","Temperate","Forest",0.810086281462822,0.353125278922507,-0.572986515264148,1.98473624014452
"141","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","AU-Wom","Temperate","Forest",0.992332097725455,0.426945072309652,-0.776311851538891,2.45637833203942
"142","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","BE-Lon","Temperate","Cropland",0.78563476471513,0.490231788679744,0.0634952441803454,1.36324774662484
"143","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","CA-Qfo","Cold","Forest",0.360707535789091,0.719279459667553,-0.0589088943006092,1.00823975798328
"144","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","CA-SF3","Cold","Shrubland",0.398363394364611,0.707919941089326,-0.0115039523747249,1.00289121884882
"145","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","CH-Cha","Temperate","Grasslands",1.01221617428797,0.770660648786548,-0.963796708722497,2.03058468772694
"146","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","CN-Cng","Cold","Grasslands",0.904827096479633,0.507724487815803,-0.454132448213364,1.86852355816417
"147","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","DE-Gri","Temperate","Grasslands",0.762569945749907,0.708129899239095,-0.30772684341568,1.67317391319268
"148","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","ES-Amo","Arid","Shrubland",1.61025192930722,0.0729499254957344,1.59529524860307,0.599181541934393
"149","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","FI-Hyy","Cold","Forest",0.602553369576307,0.649108230325288,-0.280881453193993,1.39973447504881
"150","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","FR-Gri","Temperate","Cropland",0.885843444569225,0.322344487020488,-0.509404533469513,1.96235598624734
"151","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","FR-LBr","Temperate","Forest",0.774155079398805,0.380293665865652,-0.290660232062652,1.91253068374344
"152","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","IT-CA1","Temperate","Forest",0.96403673122071,0.144598756524843,-0.0738523051682897,2.102900013934
"153","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","IT-SR2","Temperate","Forest",0.923615210051503,0.543476347516812,-0.0767594328987975,1.98649337907342
"154","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","RU-Ha1","Cold","Grasslands",0.50469446728757,0.738545332552231,-0.0611377894822928,1.74409289973497
"155","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","US-ARb","Temperate","Grasslands",1.27972370787054,0.368656514735986,0.251715386316531,1.85875801538339
"156","k_nearest_neighbor","{air_temp, atm_pressure, rel_humidity}","US-ARc","Temperate","Grasslands",1.26913082531091,0.378127354232329,-0.0884167607646764,2.23411820789745
